id,exp_id,activity_name,status,created_at,updated_at
,,Angling,,,
,1,Kayaking,,,
,1,Hiking,,,
,1,Bungee jumping,,,
,1,Cycling,,,
,1,Skydiving,,,
,1,Para-gliding,,,
,1,Bike Trip,,,
,1,Canoeing,,,
,1,Kayaking,,,
,1,Snorkeling,,,
,1,Scuba Diving,,,
,1,Rafting,,,
,1,Trekking,,,
,1,Mountaineering,,,
,1,Rock-climbing,,,
,1,Camping,,,
,1,Camel Safari,,,
,1,Elephant Safari,,,
,1,Jeep Safari,,,
,1,Kart Racing,,,
,1,Biplane Flight,,,
,1,Skiing,,,
,1,Mountain biking,,,
,1,Surfing,,,
,1,Hot Air Ballooning,,,
,2,Bird spotting,,,
,2,Wildlife photgraphy,,,
,2,Animal spotting,,,
,2,Hiking,,,
,2,Trekking,,,
,2,Feeding the animals,,,
,2,Elephant trekking,,,
,2,Jungle Camping,,,
,2,JUngle sanctuary,,,
,2,Feild Trip,,,
,2,Nature walks,,,
,2,Jungle safari,,,
,3,Floating boats,,,
,3,Ferris Wheel,,,
,3,Romantic seaside retreat,,,
,3,Private cooking school,,,
,3,Couples spa treatment,,,
,3,Private tours,,,
,3,Cycle tours,,,
,3,Private speedboat,,,
,3,Candle Light Dinner,,,
,3,Exotic meal,,,
,3,Selfie-point,,,
,3,Cruise,,,
,3,Casino,,,
,4,Night Clubs,,,
,4,Brew Pubs,,,
,4,Full Moon Party,,,
,4,Beach Clubs and Sunset Bars,,,
,4,The Hangover Tour,,,
,4,Muay Thai Live,,,
,4,roof top bar,,,
,4,Dinner cruise,,,
,4,Cultural Show And Dinner,,,
,4,Night Market,,,
,4,Concerts,,,
,4,Theatre,,,
,4,Cinema,,,
,4,Matsuri,,,
,4,hanabi,,,
,4,karaoke,,,
,4,Izakaya,,,
,4,Jazz club,,,
,4,Midnight Food Tour,,,
,5,Thai cooking school,,,
,5,Floating market,,,
,5,Morning with the monks,,,
,5,Homestay with karen villagers,,,
,5,Street food tour,,,
,5,Thai boxing,,,
,5,Making herbal compresses,,,
,5,monastery visits,,,
,5,Museums,,,
,5,Visit opera house,,,
,5,Zoo,,,
,5,Sumo wrestling,,,
,5,Fruit and vegitable carving,,,
,5,broadway show,,,
,5,Siam Niramit,,,
,5,Making floral temple carving,,,
,5,INDIGO DYEING,,,
,5,PARASOL PAINTING,,,
,6,Thai Spa,,,
,6,Meditation breaks,,,
,6,Detox retreat,,,
,6,Mid-day fitness,,,
,6,Walking meetings,,,
,6,Peacful walk,,,
,6,Yoga training,,,
,6,shopping,,,
,7,Scuba Diving,,,
,7,jet sking,,,
,7,Wakeboarding,,,
,7,Kite Surfing,,,
,7,Windsurfing,,,
,7,Snorkeling,,,
,7,Water Skiing,,,
,7,Kayaking,,,
,7,White Water Rafting,,,
,7,Fly boarding,,,
,7,surfing,,,
,7,Speedboat surf,,,
,8,TAKE A RIDE ON THE EASTERN & ORIENTAL EXPRESS,,,
,8,A PRIVATE LUXURY BOAT CLUB,,,
,8,Campfire,,,
,8,Meetings,,,
